Temperature_K,Substance Number,Substance Comb,Basis Function Number,Comb of Basis Functions,L1Loss,RMSELoss,MSELoss,Substance 0 skewnorm a,Substance 0 skewnorm loc,Substance 0 skewnorm scale,Substance 0 skewnorm 95% low,Substance 0 skewnorm 95% high,Substance 1 skewnorm a,Substance 1 skewnorm loc,Substance 1 skewnorm scale,Substance 1 skewnorm 95% low,Substance 1 skewnorm 95% high,Substance 2 skewnorm a,Substance 2 skewnorm loc,Substance 2 skewnorm scale,Substance 2 skewnorm 95% low,Substance 2 skewnorm 95% high,Substance 3 skewnorm a,Substance 3 skewnorm loc,Substance 3 skewnorm scale,Substance 3 skewnorm 95% low,Substance 3 skewnorm 95% high,Substance 4 skewnorm a,Substance 4 skewnorm loc,Substance 4 skewnorm scale,Substance 4 skewnorm 95% low,Substance 4 skewnorm 95% high,Substance 5 skewnorm a,Substance 5 skewnorm loc,Substance 5 skewnorm scale,Substance 5 skewnorm 95% low,Substance 5 skewnorm 95% high,Substance 6 skewnorm a,Substance 6 skewnorm loc,Substance 6 skewnorm scale,Substance 6 skewnorm 95% low,Substance 6 skewnorm 95% high,Substance 7 skewnorm a,Substance 7 skewnorm loc,Substance 7 skewnorm scale,Substance 7 skewnorm 95% low,Substance 7 skewnorm 95% high,Substance 8 skewnorm a,Substance 8 skewnorm loc,Substance 8 skewnorm scale,Substance 8 skewnorm 95% low,Substance 8 skewnorm 95% high,Substance 9 skewnorm a,Substance 9 skewnorm loc,Substance 9 skewnorm scale,Substance 9 skewnorm 95% low,Substance 9 skewnorm 95% high
293.15,5,"(0, 1, 2, 3, 4)",2,"(4, 5)",0.13187739184469133,0.1550186883787907,0.0279141996201795,-1323492.9358699284,0.2678907482780356,0.28074424423696037,-0.36137016651406906,0.2590927901995188,0.016438131454145483,-0.010797142781583674,0.16545751205633247,-0.33289014217988855,0.3156356146083772,0.011356735991017247,-0.05219866347265757,0.19116466061888376,-0.4251270032491654,0.324193935990819,0.74649568813576,-0.08112118684451183,0.17257278618582472,-0.2912158691674425,0.30364526662987357,0.031985770162294626,-0.008197893504060933,0.15134457859480083,-0.3008703063889431,0.29219650805824937,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,5,"(0, 1, 2, 3, 4)",2,"(4, 6)",0.1385754715716142,0.16261618786412685,0.030458869772357403,0.004744284712591832,0.026928197411458965,0.18253401684205178,-0.33013838143895674,0.38537669017513654,0.0015327103021792665,0.009766295966669475,0.19254241564654095,-0.36737415710608234,0.3873776788380425,0.005007948247680883,-0.022999047903768402,0.18245557915848898,-0.37987351433213085,0.33533350405678375,0.9858847685259033,-0.09646745014588759,0.18361709332672937,-0.2824867991720444,0.3146000875019646,0.0023199301822258932,-0.027577686574832803,0.15261683684549018,-0.3264181790117848,0.2718278033984477,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,5,"(0, 1, 2, 3, 4)",2,"(5, 6)",0.1132021896930328,0.13599124087474831,0.0224914464629206,-0.007037224546807622,0.010461273294429065,0.06430391812298757,-0.11593115662877812,0.1361315972543482,0.013502099079394935,0.0014512094492173688,0.1805617412054651,-0.3504776857421606,0.35727026713488125,0.5333337318100342,-0.08797640098494633,0.18483665627848345,-0.35210150973903254,0.31959229208861495,1.2102224365034644,-0.11556693680626616,0.19284711891525974,-0.2806461742689081,0.3165778635631286,0.01842962130223821,-0.012046486275675214,0.15053039708331925,-0.30483552766094224,0.28516900975582643,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,5,"(0, 1, 2, 3, 4)",3,"(0, 1, 2)",0.09761716244714473,0.11447227255103007,0.01647460859472196,1.354390429289536,-0.05606845834455178,0.11793450986767358,-0.14699484047833572,0.2082503203347874,1.2387312174981382,-0.04320514044113166,0.09932993896350215,-0.12647073887061316,0.17939059448617237,0.016860011861122973,-0.00724520968033943,0.14597374954992057,-0.2913591382030482,0.28079568313154624,1.2917382035718248,-0.13543516725320745,0.1970253839891256,-0.2943414443126606,0.30612244082096707,0.008066320931359547,-0.009711698660002988,0.1499472251498845,-0.3026317370811132,0.28513841178470417,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,5,"(0, 1, 2, 3, 4)",3,"(0, 1, 3)",0.10022120874616045,0.11597513098417972,0.01678228848836783,0.00586739369431403,0.03910108128312952,0.0906346810598636,-0.13811338166959353,0.21716414644290405,0.024831011259192966,0.02352258392245046,0.07638764066324297,-0.12465200445484884,0.17472330768888103,0.17061992476128324,-0.05067729948585398,0.14449816421412104,-0.3118644125651216,0.24943645712043383,1.2451775582516302,-0.11059413589314296,0.19622900445132072,-0.27431334625099124,0.3291539503548193,0.004218613828411212,-0.004507947680443509,0.1497180856254472,-0.29744439826770463,0.2894363884830274,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,5,"(0, 1, 2, 3, 4)",3,"(0, 1, 4)",0.09763331344786716,0.11362444516271353,0.01630043774404197,1.2519514370189797,-0.07047017585524692,0.10917633090485623,-0.16110910481952898,0.17419566897357056,0.8571250710639975,-0.043871623066152526,0.09820038227866545,-0.1536801303747159,0.17563284335414187,0.008512685110857395,0.0051873580593701195,0.1463922239671901,-0.28073522081658564,0.29309851649799656,1.1906421675915564,-0.11814108397875814,0.19401291909439078,-0.2866355225178985,0.31659938587275516,0.022837150450562182,0.0024776629293831757,0.14835333181520047,-0.2855385911007706,0.2958992860848717,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,5,"(0, 1, 2, 3, 4)",3,"(0, 1, 5)",0.09778204848480165,0.11410526744557999,0.01623041629695695,0.01651375564131852,0.019868099052521914,0.08450283636719157,-0.14462674055881847,0.18658954434172595,0.22529847255288338,-0.005254520606636979,0.08376351421112978,-0.15210134639414236,0.17116043852174564,0.029564456763166748,-0.007147701219052492,0.14275556281121082,-0.2834993016785066,0.2759366476590395,1.231267461017632,-0.11003281502625098,0.19619905642704727,-0.2754033469987265,0.32963898127097213,0.013441297200257548,-0.005948025592192929,0.14959693759856485,-0.2975315158728629,0.28884398555780316,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,5,"(0, 1, 2, 3, 4)",3,"(0, 1, 6)",0.09654906164363619,0.1132413450378313,0.016282631008703648,1.556323355925272,-0.08265572293638435,0.12005296030314623,-0.1630577014845801,0.1864278513445079,1.4180627917383224,-0.06516809425259426,0.1028724504832079,-0.1409812040119569,0.16540033768764614,0.01492400765049917,-0.006423556945552534,0.1464579893732793,-0.2917117700047644,0.28235230490237395,1.379855522199179,-0.11980740750448102,0.20179316673298045,-0.2725922355050243,0.33246475891057026,0.008141399289078848,-0.0028835794212389194,0.14857051876492255,-0.2931052269760385,0.28926821823560217,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,5,"(0, 1, 2, 3, 4)",3,"(0, 2, 3)",0.09767275554271627,0.11378715857307413,0.0162839107050338,0.033079695949178915,0.024995548458698568,0.09063166111852923,-0.15018628524975602,0.20495966751262093,0.03781108356130805,0.007851765356811523,0.07704353866080191,-0.1407590740672045,0.161108778768763,0.05412987155575673,-0.01097585758654639,0.14227161704907118,-0.2834257158311924,0.2737499321781667,1.4474110883350813,-0.121163228836542,0.2042212183614307,-0.26860103358925896,0.3365631276124943,0.01004965094994069,-0.0022674523241485436,0.14922165175817975,-0.2935306307760066,0.2913886926543485,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,5,"(0, 1, 2, 3, 4)",3,"(0, 2, 4)",0.09783526446985367,0.114686672432135,0.01652665590619511,1.2670543382874273,-0.0715745507528755,0.10898872931764937,-0.1610666750493815,0.1726756171661856,0.8907738758421624,-0.043470058883030835,0.10055983044910682,-0.15304516531625123,0.18142493845917657,0.05183371550515693,-0.03004623729077148,0.14443231551942934,-0.30691943459318555,0.2587617547073321,1.276576415831517,-0.12396737443900015,0.19810485143044254,-0.2855112729631296,0.32000223859092003,0.021402203625323288,-0.01399981129441019,0.15074125683838757,-0.30683049091912556,0.2839782571502054,,,,,,,,,,,,,,,,,,,,,,,,,
