0.58609,0.30629,0.65709,0.51449,0.38077,0.37905,0.27132
0.58823,0.29089,0.6655,0.53812,0.38469,0.36217,0.25707
0.58741,0.26194,0.67059,0.59022,0.40331,0.33834,0.23458
0.5776,0.23652,0.65747,0.64333,0.43694,0.32611,0.21949
0.55845,0.2148,0.62774,0.6898,0.48585,0.32383,0.21041
0.53152,0.19665,0.58633,0.72108,0.54948,0.33101,0.20632
0.49932,0.18169,0.53896,0.73046,0.62549,0.34809,0.20658
0.46449,0.16943,0.4904,0.71583,0.70801,0.3763,0.211
0.42928,0.1594,0.44386,0.68035,0.78569,0.41756,0.21981
0.39536,0.15112,0.4011,0.63073,0.84189,0.47435,0.23369
0.36378,0.14423,0.36286,0.57438,0.86027,0.54904,0.25381
0.33508,0.13843,0.32926,0.51733,0.83415,0.64218,0.282
0.30941,0.13349,0.30002,0.46348,0.77136,0.74873,0.32086
0.28668,0.12925,0.27475,0.41482,0.68864,0.8528,0.37404
0.26669,0.12559,0.25296,0.37202,0.60202,0.92623,0.44619
0.24912,0.12246,0.23418,0.33495,0.52163,0.94068,0.54226
0.23371,0.11978,0.21798,0.30311,0.45179,0.88933,0.66441
0.22016,0.11754,0.20398,0.27586,0.39316,0.79276,0.80427
0.20824,0.11571,0.19184,0.25255,0.34473,0.68082,0.93141
0.19775,0.11426,0.1813,0.23257,0.30495,0.57476,0.99472
0.18851,0.11318,0.17212,0.21541,0.27225,0.48384,0.95959
0.18039,0.11246,0.16411,0.20061,0.24527,0.40957,0.84574
0.17326,0.11207,0.15711,0.18782,0.22291,0.35017,0.70435
0.16704,0.112,0.151,0.17671,0.20426,0.30298,0.57342
0.16164,0.11223,0.14566,0.16704,0.1886,0.2655,0.46682
0.15698,0.11274,0.14101,0.15861,0.17538,0.23562,0.38456
0.15301,0.11353,0.13698,0.15123,0.16414,0.21168,0.32215
0.14968,0.11459,0.13351,0.14476,0.15452,0.19238,0.27473
0.14693,0.11592,0.13054,0.13909,0.14624,0.17671,0.23836
0.14474,0.11752,0.12804,0.13411,0.13907,0.1639,0.2101
0.14308,0.1194,0.12598,0.12975,0.13285,0.15333,0.18784
0.14192,0.12157,0.12432,0.12593,0.12742,0.1445,0.17008
0.14125,0.12407,0.12304,0.12261,0.12268,0.13704,0.15572
0.14107,0.12691,0.12214,0.11972,0.11854,0.13065,0.14399
0.14139,0.13014,0.12159,0.11723,0.11494,0.12511,0.13431
0.1422,0.13378,0.12139,0.11511,0.11181,0.12023,0.12625
0.14353,0.13789,0.12154,0.11334,0.10912,0.1159,0.11949
0.14541,0.14251,0.12203,0.11188,0.10683,0.11203,0.11379
0.14787,0.14768,0.12288,0.11073,0.1049,0.10856,0.10896
0.15097,0.15346,0.12409,0.10988,0.10328,0.10545,0.10484
0.15475,0.1599,0.12569,0.1093,0.10196,0.10269,0.10132
0.1593,0.16707,0.12769,0.10901,0.1009,0.10028,0.09831
