0.001533,0.42495168,0.037288,0.10335429
0.001195,0.42402368,0.03695699,0.10196901
0.001165,0.41819584,0.03667733,0.10023585
0.001603,0.40309568,0.03742388,0.09194406
0.001832,0.39404288,0.03883403,0.08730813
0.003756,0.39199424,0.04289937,0.08432307
0.005911,0.38987904,0.04706899,0.07959198
0.005046,0.3766816,0.04346975,0.07926282
0.003426,0.3474496,0.03753685,0.07469124
0.00265,0.3099392,0.03288217,0.069771
0.002743,0.27937088,0.03055483,0.06557031
0.003347,0.25814016,0.02944014,0.05801796
0.003893,0.2346656,0.02898984,0.05301465
0.003987,0.21342912,0.02962184,0.04949334
0.004805,0.19896896,0.03739228,0.04260672
0.006648,0.19377472,0.03698069,0.04181931
0.007661,0.19243072,0.03464861,0.03739047
0.007463,0.19390528,0.03172561,0.03308292
0.006771,0.19845504,0.02929557,0.02847702
0.006377,0.1968096,0.02773611,0.0223587
0.007178,0.18966784,0.02691135,0.0197691
0.01007,0.18101888,0.02609449,0.01637181
0.013666,0.19836096,0.02567026,0.00822666
0.014947,0.25841408,0.0288982,0.01323387
0.013792,0.2887328,0.03565033,0.01240629
0.011867,0.28337344,0.03797925,0.01009554
0.012461,0.2331264,0.04332439,0.01036074
0.015849,0.190656,0.05708856,0.00936585
0.012951,0.1816064,0.08269562,0.00935805
0.016087,0.14250432,0.19266757,0.00822003
0.083161,0.1003552,0.55872513,0.00911976
0.239255,0.0717312,0.51937918,0.00927849
0.443494,0.0771104,0.29588818,0.00937404
0.599923,0.12364992,0.1286278,0.00899418
0.540755,0.26812608,0.08690869,0.0081744
0.259039,0.42086784,0.07153213,0.00945672
0.022305,0.5310464,0.08849659,0.01295775
-0.013948,0.54927808,0.11986591,0.01491009
0.029654,0.53990592,0.11936189,0.01290822
0.042594,0.2346496,0.07213648,0.00989352
0.034397,0.13322752,0.05912992,0.00782808
0.029462,0.0862112,0.05575741,0.00664014
0.028443,0.05392448,0.05745828,0.00997425
0.026177,0.044464,0.06716422,0.01047306
0.024397,0.04008704,0.10681669,0.01320033
0.028595,0.03862208,0.33797148,0.02556645
0.044,0.07953664,0.15621223,0.06493227
0.075464,0.25882048,0.37130158,0.15387567
0.11906,0.27986688,0.27974769,0.17250519
0.146015,0.3006368,0.19959745,0.22104225
0.126794,0.43998784,0.12392572,0.22180704
0.080806,0.48820288,0.13497703,0.19724367
0.056846,0.49517888,0.34591177,0.19673043
0.077343,0.53079808,0.37109618,0.21988551
0.107227,0.55917696,0.19722982,0.20783139
0.109543,0.57941504,0.12814748,0.23652213
0.121704,0.59311424,0.16609829,0.24489036
0.229443,0.59809536,0.12177139,0.19707168
0.478298,0.59883136,0.26463262,0.16366857
0.766375,0.58299264,0.26700894,0.20704671
0.955997,0.52311232,0.33297789,0.16243578
0.97896,0.45135232,0.60060698,0.18109182
0.875257,0.37918208,0.72264223,0.23036325
0.696462,0.32982336,0.57665102,0.15428361
0.497411,0.29093312,0.48505684,0.18736263
0.336418,0.26011328,0.57338516,0.13279305
0.270378,0.231248,0.44128768,0.14105247
0.300448,0.20842304,0.29700287,0.20468565
0.391144,0.19147456,0.39627664,0.20623122
0.504534,0.17987136,0.22175379,0.3113838
0.606628,0.1732864,0.17587059,0.34905351
0.665027,0.16545024,0.23563093,0.34519758
0.648162,0.15795008,0.2905146,0.33122856
0.565521,0.1532896,0.13233843,0.31934487
0.459702,0.14726336,0.17641095,0.37634688
0.376347,0.13956672,0.31853748,0.3818529
0.334804,0.21066752,0.46706459,0.37907298
0.318124,0.22957184,0.4396903,0.36774075
0.30568,0.22462016,0.17411916,0.30060693
0.281233,0.2775616,0.26588319,0.32295276
